ParkingSpotID Timestamp Occupied
Parking_19 1516124820430 1

Parking_07 1516117323491 0

Parking_03 1516122723333 0

Parking_11 1516121246267 0

Parking_10 1516114322759 0

Parking_25 1516123322885 0

Parking_31 1516123321114 0

Parking_08 1516125425912 0

Parking_29 1516124253539 0

Parking_26 1516123323447 0

Parking_23 1516124822994 0

Parking_16 1516120021819 1

Parking_20 1516124823405 0

Parking_01 1516114023399 0

Parking_17 1516123321866 0

Parking_22 1516101423733 0

Parking_30 1516127533544 0

Parking_32 1516123044530 1

Parking_28 1516124253971 0

Parking_21 1516110422901 0

Parking_15 1516110730912 0

Parking_14 1516122423443 0

Parking_18 1516036323483 1

Parking_24 1516123622543 0

Parking_04 1516114022999 0

Parking_12 1516120337802 0

Parking_05 1516115823048 0

Parking_27 1516117622507 0

Parking_02 1516119723536 0

Parking_06 1516115223357 0

Parking_13 1516120023457 0

Parking_09 1516117623571 0

Parking_18 1516130535243 0

Parking_32 1516132923174 0

Parking_19 1516136223665 0

Parking_16 1516147321309 0

Parking_25 1516165620635 1

Parking_10 1516165920431 1

Parking_25 1516168627993 0

Parking_25 1516169537861 1

Parking_14 1516170432578 1

Parking_05 1516170432000 1

Parking_16 1516170737200 1

Parking_07 1516171320730 1

Parking_12 1516171321417 1

Parking_25 1516171623047 0

Parking_02 1516171621066 1

Parking_08 1516172820806 1

Parking_26 1516173120871 1

Parking_13 1516173121918 1

Parking_06 1516173721015 1

Parking_31 1516174021387 1

Parking_26 1516174623622 0

Parking_32 1516174621486 1

Parking_26 1516174920674 1

Parking_01 1516174921755 1

Parking_25 1516175220877 1

Parking_10 1516175522745 0

Parking_14 1516175523253 0

Parking_12 1516175524223 0

Parking_13 1516175522133 0

Parking_11 1516175851509 1

Parking_10 1516175851115 1

Parking_31 1516175853741 0

Parking_30 1516175852289 1

Parking_14 1516175849900 1

Parking_24 1516175848482 1

Parking_12 1516175851912 1

Parking_13 1516175850556 1

Parking_09 1516175849068 1

Parking_29 1516176122558 1

Parking_15 1516176121626 1

Parking_31 1516176422057 1

Parking_03 1516176729379 1

Parking_23 1516176727880 1

Parking_04 1516176728874 1

Parking_27 1516176730596 1

Parking_23 1516177023229 0

Parking_28 1516177022139 1

Parking_23 1516177321304 1

Parking_22 1516177321928 1

Parking_20 1516177621185 1

Parking_17 1516177945837 1

Parking_18 1516177945207 1

Parking_19 1516178821815 1

Parking_25 1516178824652 0

Parking_31 1516178825262 0

Parking_29 1516178825697 0

Parking_26 1516178820822 1

Parking_30 1516178824185 0

Parking_25 1516179120813 1

Parking_31 1516179124533 1

Parking_29 1516179123630 1

Parking_30 1516179124103 1

Parking_26 1516179724268 0

Parking_06 1516179723703 0

Parking_26 1516180038435 1

Parking_06 1516180040000 1

Parking_26 1516181233987 0

Parking_26 1516181520490 1

Parking_26 1516181823517 0

Parking_26 1516182120801 1

Parking_26 1516182423631 0

Parking_26 1516182732920 1

Parking_25 1516183923808 0

Parking_25 1516184221388 1

Parking_25 1516185123575 0

Parking_25 1516185720907 1

Parking_21 1516186323591 0

Parking_21 1516186621111 1

Parking_11 1516188123247 0

Parking_11 1516188422608 1

Parking_05 1516189342923 0

Parking_05 1516189630827 1

Parking_30 1516190223349 0

Parking_30 1516190523296 1

Parking_31 1516192329047 0

Parking_21 1516192329534 0

Parking_32 1516192641495 0

Parking_32 1516192924064 1

Parking_05 1516192922088 1

Parking_31 1516193840377 0

Parking_32 1516193840795 0

Parking_03 1516194124304 0

Parking_32 1516194123104 1

Parking_27 1516194123713 0

Parking_03 1516194422122 1

Parking_30 1516194423870 0

Parking_04 1516194424347 0

Parking_27 1516194423122 1

Parking_02 1516194424794 0

Parking_30 1516194724436 1

Parking_04 1516194722481 1

Parking_02 1516194723157 1

Parking_10 1516195322920 0

Parking_29 1516195323348 0

Parking_10 1516195623030 1

Parking_29 1516195623837 1

Parking_29 1516195924144 0

Parking_15 1516195923278 0

Parking_27 1516195923678 0

Parking_10 1516196524883 0

Parking_01 1516196523343 1

Parking_28 1516196524132 1

Parking_02 1516196522831 1

Parking_10 1516196822165 1

Parking_02 1516196823454 0

Parking_03 1516197136143 0

Parking_10 1516197136666 0

Parking_28 1516197137115 0

Parking_13 1516197135761 0

Parking_03 1516197422611 1

Parking_28 1516197423918 1

Parking_04 1516197422167 1

Parking_02 1516197423246 1

Parking_01 1516197723714 0

Parking_28 1516197724513 0

Parking_15 1516197722305 1

Parking_13 1516197722813 1

Parking_31 1516198324727 1

Parking_29 1516198324333 1

Parking_26 1516198325418 0

Parking_28 1516198323864 1

Parking_26 1516198627144 1

Parking_30 1516198630530 1

Parking_27 1516198629722 1

Parking_10 1516199823274 1

Parking_11 1516200127139 0

Parking_10 1516200127584 0

Parking_01 1516200422009 1

Parking_21 1516200423362 0

Parking_10 1516201339101 1

Parking_01 1516201623142 0

Parking_14 1516201623587 0

Parking_26 1516201923629 0

Parking_14 1516201921993 1

Parking_31 1516202523853 0

Parking_26 1516202520864 1

Parking_14 1516202523259 0

Parking_04 1516202524727 0

Parking_13 1516202524369 0

Parking_10 1516202829670 0

Parking_04 1516202828062 1

Parking_21 1516203423319 0

Parking_09 1516203723378 0

Parking_10 1516204030844 1

Parking_21 1516204029348 1

Parking_29 1516204323840 0

Parking_14 1516204322140 1

Parking_18 1516204323131 0

Parking_03 1516204624706 0

Parking_29 1516204622787 1

Parking_01 1516204621972 1

Parking_28 1516204623507 0

Parking_14 1516204624129 0

Parking_28 1516204940135 1

Parking_13 1516204939501 1

Parking_16 1516205223043 0

Parking_01 1516205224117 0

Parking_15 1516205223578 0

Parking_14 1516205221950 1

Parking_06 1516205224727 0

Parking_13 1516205225145 0

Parking_15 1516205522471 1

Parking_14 1516205523817 0

Parking_06 1516205521620 1

Parking_18 1516205843369 1

Parking_19 1516206124179 0

Parking_19 1516206421292 1

Parking_28 1516206423270 0

Parking_14 1516206722212 1

Parking_04 1516206724360 0

Parking_27 1516206723623 0

Parking_27 1516207022946 1

Parking_19 1516207322460 0

Parking_18 1516207322814 0

Parking_06 1516207323397 0

Parking_14 1516207622471 0

Parking_29 1516207925385 0

Parking_22 1516207924634 0

Parking_07 1516208838400 0

Parking_29 1516208836317 1

Parking_20 1516208837640 0

Parking_22 1516208835051 1

Parking_11 1516209121556 1

Parking_17 1516209122416 0

Parking_11 1516209423379 0

Parking_22 1516209424179 0

Parking_12 1516209423746 0

Parking_02 1516209422687 0

Parking_22 1516209729529 1

Parking_14 1516209730381 1

Parking_29 1516210023704 0

Parking_22 1516210021707 0

Parking_21 1516210022751 0

Parking_14 1516210023322 0

Parking_26 1516210323208 0

Parking_30 1516210321954 0

Parking_08 1516211221933 0

Parking_30 1516211221254 1

Parking_14 1516211521080 1

Parking_14 1516212123941 0

Parking_30 1516212438440 0

Parking_15 1516212439418 0

Parking_26 1516213627619 1

Parking_27 1516215445798 0

Parking_23 1516216022514 0

Parking_24 1516216922735 0

Parking_24 1516217220851 1

Parking_24 1516217822723 0

Parking_24 1516218120878 1

Parking_24 1516218423395 0

Parking_10 1516219321726 0

Parking_26 1516228021578 0

Parking_32 1516228023866 0

Parking_05 1516228023149 0

Parking_19 1516262711454 1

Parking_07 1516257618915 1

Parking_03 1516254600540 1

Parking_11 1516260001151 1

Parking_25 1516261500704 1

Parking_31 1516261802157 1

Parking_08 1516259100662 1

Parking_29 1516262108304 1

Parking_26 1516263008289 1

Parking_23 1516263006433 1

Parking_16 1516260300855 1

Parking_20 1516265700999 1

Parking_01 1516261201261 1

Parking_22 1516264200746 1

Parking_30 1516261501836 1

Parking_32 1516260301845 1

Parking_28 1516263007911 1

Parking_21 1516266301037 1

Parking_15 1516257014767 1

Parking_14 1516258501102 1

Parking_24 1516262714104 1

Parking_04 1516264501792 1

Parking_12 1516257619488 1

Parking_05 1516261200779 1

Parking_27 1516262712533 1

Parking_02 1516257311500 1

Parking_06 1516262107522 1

Parking_13 1516258502831 1

Parking_09 1516257014411 1

Parking_26 1516268402312 0

Parking_19 1516268708500 0

Parking_26 1516268705962 1

Parking_20 1516268708250 0

Parking_19 1516269003783 1

Parking_20 1516269003300 1

Parking_18 1516269303175 0

Parking_19 1516269600951 1

Parking_26 1516269603113 0

Parking_18 1516269601291 1

Parking_24 1516269603438 0

Parking_26 1516269900675 1

Parking_24 1516269901330 1

Parking_27 1516270202293 0

Parking_25 1516270505832 0

Parking_31 1516270506544 0

Parking_08 1516270506151 0

Parking_29 1516270505477 1

Parking_30 1516270507408 0

Parking_32 1516270507802 0

Parking_15 1516270507000 0

Parking_09 1516270501471 1

Parking_25 1516270800737 1

Parking_29 1516270802935 0

Parking_16 1516270801928 0

Parking_28 1516270804244 0

Parking_14 1516270802313 0

Parking_27 1516270804637 0

Parking_13 1516270803370 0

Parking_09 1516270803758 0

Parking_03 1516271104732 0

Parking_25 1516271105113 0

Parking_08 1516271102027 1

Parking_26 1516271107671 0

Parking_01 1516271103618 0

Parking_24 1516271105673 0

Parking_04 1516271102859 0

Parking_12 1516271103205 0

Parking_06 1516271104278 0

Parking_08 1516271409834 0

Parking_16 1516271406673 1

Parking_01 1516271407337 1

Parking_12 1516271408030 1

Parking_19 1516271701412 1

Parking_26 1516271700629 1

Parking_14 1516271702688 1

Parking_12 1516271703275 0

Parking_02 1516271703915 0

Parking_09 1516271702048 1

Parking_19 1516272001383 1

Parking_25 1516272000508 1

Parking_31 1516272004319 1

Parking_29 1516272003877 1

Parking_28 1516272003455 1

Parking_12 1516272003022 1

Parking_02 1516272002215 1

Parking_03 1516272305702 1

Parking_25 1516272308380 0

Parking_30 1516272307568 1

Parking_15 1516272306308 1

Parking_13 1516272306824 1

Parking_19 1516272601452 1

Parking_25 1516272600620 1

Parking_26 1516272604726 0

Parking_32 1516272604146 1

Parking_04 1516272602709 1

Parking_06 1516272602238 1

Parking_19 1516272903243 0

Parking_26 1516272900620 1

Parking_22 1516272903722 0

Parking_06 1516272904107 0

Parking_09 1516272904482 0

Parking_19 1516273220666 1

Parking_31 1516273222743 0

Parking_29 1516273223959 0

Parking_22 1516273220021 1

Parking_32 1516273223549 0

Parking_28 1516273224289 0

Parking_14 1516273223193 0

Parking_09 1516273221286 1

Parking_29 1516273505178 1

Parking_32 1516273505647 1

Parking_28 1516273504783 1

Parking_06 1516273501166 1

Parking_16 1516273507573 0

Parking_01 1516273507936 0

Parking_17 1516273506418 0

Parking_04 1516273506063 0

Parking_13 1516273507157 0

Parking_03 1516273803548 0

Parking_11 1516273805472 0

Parking_10 1516273805069 0

Parking_08 1516273801459 1

Parking_29 1516273804147 0

Parking_01 1516273802142 1

Parking_28 1516273805971 0

Parking_15 1516273804669 0

Parking_13 1516273802808 1

Parking_03 1516275322348 1

Parking_11 1516274404313 1

Parking_10 1516274703229 1

Parking_25 1516274400726 1

Parking_31 1516275324720 1

Parking_29 1516274404757 1

Parking_16 1516274402718 1

Parking_17 1516274402239 1

Parking_30 1516274405152 1

Parking_28 1516275324103 1

Parking_21 1516274401525 1

Parking_14 1516274702836 1

Parking_04 1516275321939 1

Parking_12 1516274703603 1

Parking_02 1516275322838 1

Parking_13 1516275323377 1

Parking_21 1516276442620 1

Parking_21 1516276744133 0

Parking_16 1516277047310 0

Parking_28 1516277047937 0

Parking_21 1516277045188 1

Parking_24 1516277047621 0

Parking_16 1516277348130 1

Parking_01 1516278842359 1

Parking_28 1516277349413 1

Parking_24 1516277347283 1

Parking_25 1516280042319 0

Parking_25 1516280340731 1

Parking_12 1516280341965 0

Parking_19 1516281843721 1

Parking_18 1516281845078 0

Parking_04 1516281844828 0

Parking_18 1516282150959 1

Parking_14 1516282442492 0

Parking_12 1516282441904 1

Parking_24 1516282742854 0

Parking_04 1516282741644 1

Parking_26 1516283042715 0

Parking_24 1516283040766 1

Parking_14 1516283942934 0

Parking_18 1516283943375 0

Parking_24 1516283941006 1

Parking_12 1516284557632 0

Parking_04 1516285443853 0

Parking_27 1516285443614 0

Parking_04 1516285744543 1

Parking_10 1516286042433 0

Parking_30 1516286042148 0

Parking_14 1516286041477 1

Parking_30 1516286664028 1

Parking_28 1516286664424 0

Parking_14 1516286664662 0

Parking_27 1516286663746 1

Parking_19 1516286941031 1

Parking_25 1516287552758 0

Parking_03 1516287843169 0

Parking_25 1516287840734 1

Parking_26 1516287842367 0

Parking_21 1516287842035 0

Parking_14 1516287841623 1

Parking_27 1516287842803 0

Parking_31 1516288141565 0

Parking_14 1516288443250 0

Parking_04 1516288443621 0

Parking_25 1516288746562 0

Parking_13 1516288745911 0

Parking_25 1516289040726 1

Parking_31 1516289041917 1

Parking_15 1516289043013 0

Parking_04 1516289041510 1

Parking_31 1516289342426 0

Parking_15 1516289341389 1

Parking_14 1516289341655 1

Parking_27 1516289341945 1

Parking_32 1516289643817 0

Parking_21 1516289642666 1

Parking_14 1516289643493 0

Parking_27 1516289644304 0

Parking_32 1516289971071 1

Parking_15 1516289971637 0

Parking_27 1516289970752 1

Parking_07 1516290542595 0

Parking_11 1516290543577 0

Parking_06 1516290541931 0

Parking_08 1516290841485 1

Parking_26 1516290840631 1

Parking_13 1516290841954 1

Parking_26 1516291149921 0

Parking_13 1516291150297 0

Parking_26 1516291440995 1

Parking_16 1516291442526 0

Parking_13 1516291441786 1

Parking_09 1516291442833 0

Parking_25 1516291741589 0

Parking_23 1516291741992 0

Parking_16 1516291740966 1

Parking_25 1516292053685 1

Parking_13 1516292054812 0

Parking_04 1516292341399 0

Parking_04 1516292640960 1

Parking_13 1516292641301 1

Parking_32 1516292941911 0

Parking_04 1516292941347 0

Parking_05 1516292941631 0

Parking_13 1516292942217 0

Parking_29 1516293241881 0

Parking_32 1516293241469 1

Parking_02 1516294150320 0

Parking_11 1516294741222 0

Parking_32 1516294741663 0

Parking_29 1516295362986 1

Parking_30 1516295363248 1

Parking_32 1516295363501 1

Parking_29 1516295943175 0

Parking_20 1516295943551 0

Parking_01 1516295941254 0

Parking_22 1516295941509 0

Parking_30 1516295941811 0

Parking_32 1516295942116 0

Parking_24 1516295942905 0

Parking_01 1516296249980 1

Parking_32 1516296250451 1

Parking_23 1516296540576 1

Parking_16 1516296541073 0

Parking_01 1516296542747 0

Parking_17 1516296541424 0

Parking_32 1516296541754 0

Parking_27 1516296542988 0

Parking_08 1516296842331 0

Parking_29 1516296840806 1

Parking_26 1516296841497 0

Parking_32 1516296841240 1

Parking_19 1516297469216 0

Parking_25 1516297466908 0

Parking_23 1516297467269 0

Parking_25 1516298040460 1

Parking_32 1516298041135 1

Parking_25 1516298341329 0

Parking_30 1516298340522 1

Parking_30 1516298941239 0

Parking_32 1516298941548 0

Parking_25 1516299255333 1

Parking_32 1516299540463 1

Parking_21 1516299541572 0

Parking_25 1516299841703 0

Parking_25 1516300149919 1

Parking_32 1516300151265 0

Parking_25 1516300442095 0

Parking_32 1516300440462 1

Parking_32 1516301345016 0

Parking_25 1516301643573 0

Parking_32 1516301640531 1

Parking_25 1516302840425 1

Parking_32 1516302841749 0

Parking_25 1516303754182 0

Parking_26 1516304957210 1

Parking_26 1516305240444 1

Parking_27 1516306145234 0

Parking_32 1516307340472 1

Parking_32 1516307653524 0

Parking_32 1516310952778 1

Parking_25 1516311266894 1

Parking_26 1516311267869 0

Parking_32 1516311269050 0

Parking_25 1516312742162 0

Parking_32 1516329540466 1

Parking_32 1516331940846 0

Parking_32 1516334040953 0

Parking_32 1516334340425 1

Parking_32 1516334647837 0

Parking_32 1516334940665 1

Parking_32 1516335540901 0

Parking_32 1516336140422 1

Parking_32 1516337041189 0

Parking_32 1516337640484 1

Parking_11 1516338240992 1

Parking_11 1516338542765 0

Parking_10 1516338541554 1

Parking_32 1516339142154 0

Parking_32 1516340340778 1

Parking_32 1516341240691 1

Parking_32 1516341552061 0

Parking_32 1516341840737 1

Parking_32 1516342442215 0

Parking_03 1516342740381 1

Parking_32 1516342741019 1

Parking_05 1516343040661 1

Parking_14 1516343344010 1

Parking_07 1516344243016 1

Parking_14 1516344542545 1

Parking_04 1516344540795 1

Parking_13 1516344842105 0

Parking_17 1516345440432 1

Parking_31 1516346042334 1

Parking_26 1516346040898 1

Parking_06 1516346041573 1

Parking_11 1516346654235 1

Parking_16 1516346652554 1

Parking_01 1516346653538 1

Parking_30 1516346654852 1

Parking_12 1516346654554 1

Parking_13 1516346653884 1

Parking_16 1516346941925 0

Parking_29 1516347241520 1

Parking_32 1516347242462 0

Parking_32 1516347542020 1

Parking_16 1516347840719 1

Parking_02 1516347841675 1

Parking_13 1516347842723 0

Parking_28 1516348441794 1

Parking_28 1516348742027 0

Parking_25 1516349043424 1

Parking_23 1516349346417 1

Parking_15 1516349641911 1

Parking_24 1516349640807 1

Parking_22 1516349940814 1

Parking_09 1516349941663 1

Parking_20 1516350241753 1

Parking_21 1516350241143 1

Parking_14 1516350542490 0

